id,POS,NodeType
0,NOUN,synset
1,NOUN,synset
2,NOUN,synset
3,NOUN,synset
4,NOUN,synset
5,NOUN,synset
6,NOUN,synset
7,NOUN,synset
8,NOUN,synset
9,NOUN,synset
10,NOUN,synset
11,NOUN,synset
12,NOUN,synset
13,NOUN,synset
14,NOUN,synset
15,NOUN,synset
16,NOUN,synset
17,NOUN,synset
18,NOUN,synset
19,NOUN,synset
20,NOUN,synset
21,NOUN,synset
22,NOUN,synset
23,NOUN,synset
24,NOUN,synset
25,NOUN,synset
26,NOUN,synset
27,NOUN,synset
28,NOUN,synset
29,NOUN,synset
30,NOUN,synset
31,NOUN,synset
32,NOUN,synset
33,NOUN,synset
34,NOUN,synset
35,NOUN,synset
36,NOUN,synset
37,NOUN,synset
38,NOUN,synset
39,NOUN,synset
40,NOUN,synset
41,NOUN,synset
42,NOUN,synset
43,NOUN,synset
44,NOUN,synset
45,NOUN,synset
46,NOUN,synset
47,NOUN,synset
48,NOUN,synset
49,NOUN,synset
50,NOUN,synset
51,NOUN,synset
52,NOUN,synset
53,NOUN,synset
54,NOUN,synset
55,NOUN,synset
56,NOUN,synset
57,NOUN,synset
58,NOUN,synset
59,NOUN,synset
60,NOUN,synset
61,NOUN,synset
62,NOUN,synset
63,NOUN,synset
64,NOUN,synset
65,NOUN,synset
66,NOUN,synset
67,NOUN,synset
68,NOUN,synset
69,NOUN,synset
70,NOUN,synset
71,NOUN,synset
72,NOUN,synset
73,NOUN,synset
74,NOUN,synset
75,NOUN,synset
76,NOUN,synset
77,NOUN,synset
78,NOUN,synset
79,NOUN,synset
80,NOUN,synset
81,NOUN,synset
82,NOUN,synset
83,NOUN,synset
84,NOUN,synset
85,NOUN,synset
86,NOUN,synset
87,NOUN,synset
88,NOUN,synset
89,NOUN,synset
90,NOUN,synset
91,NOUN,synset
92,NOUN,synset
93,NOUN,synset
94,NOUN,synset
95,NOUN,synset
96,NOUN,synset
97,NOUN,synset
98,NOUN,synset
99,NOUN,synset
100,NOUN,synset
101,NOUN,synset
102,NOUN,synset
103,NOUN,synset
104,NOUN,synset
105,NOUN,synset
106,NOUN,synset
107,NOUN,synset
108,NOUN,synset
109,NOUN,synset
110,NOUN,synset
111,NOUN,synset
112,NOUN,synset
113,NOUN,synset
114,NOUN,synset
115,NOUN,synset
116,NOUN,synset
117,NOUN,synset
118,NOUN,synset
119,NOUN,synset
120,NOUN,synset
121,NOUN,synset
122,NOUN,synset
123,NOUN,synset
124,NOUN,synset
125,NOUN,synset
126,NOUN,synset
127,NOUN,synset
128,NOUN,synset
129,NOUN,synset
130,NOUN,synset
131,NOUN,synset
132,NOUN,synset
133,NOUN,synset
134,NOUN,synset
135,NOUN,synset
136,NOUN,synset
137,NOUN,synset
138,NOUN,synset
139,NOUN,synset
140,NOUN,synset
141,NOUN,synset
142,NOUN,synset
143,NOUN,synset
144,NOUN,synset
145,NOUN,synset
146,NOUN,synset
147,NOUN,synset
148,NOUN,synset
149,NOUN,synset
150,NOUN,synset
151,NOUN,synset
152,NOUN,synset
153,NOUN,synset
154,NOUN,synset
155,NOUN,synset
156,NOUN,synset
157,NOUN,synset
158,NOUN,synset
159,NOUN,synset
160,NOUN,synset
161,NOUN,synset
162,NOUN,synset
163,NOUN,synset
164,NOUN,synset
