Word,SID
0,46394
1,47746
2,24921
3,72938
4,72939
5,79354
6,2328
7,72955
8,72985
9,72989
10,72992
11,72993
12,72994
13,72996
14,72999
15,72998
16,72956
17,3208
18,80782
19,72957
20,37876
21,37876
22,72987
23,72960
24,72961
25,72986
26,80868
27,72962
28,80580
29,80665
30,43548
31,81028
32,72963
33,34620
34,72964
35,72991
36,80592
37,80596
38,80601
39,80605
40,80609
41,43558
42,72965
43,77729
44,80582
45,80585
46,80588
47,80591
48,80595
49,80600
50,80604
51,80608
52,72966
53,80579
54,80581
55,80584
56,80587
57,80590
58,80594
59,80599
60,80603
61,80607
62,34443
63,34541
64,34440
65,34545
66,34438
67,33571
68,58343
69,58290
70,33571
71,58279
72,58298
73,58301
74,60224
75,72942
76,2329
77,79811
78,77625
79,72967
80,72968
81,72969
82,77730
83,72970
84,72971
85,80628
86,77731
87,80416
88,72972
89,72973
90,72974
91,72975
92,72976
93,34444
94,34542
95,34441
96,34546
97,34439
98,72946
99,35382
100,32215
101,2330
102,72977
103,81027
104,80876
105,80877
106,35382
107,32215
108,24467
109,43478
110,19798
111,72947
112,2331
113,72978
114,32072
115,32072
116,72295
117,27997
118,18340
119,18339
120,72948
121,2332
122,77603
123,78644
124,72979
125,72988
126,72949
127,72980
128,81026
129,80662
130,72950
131,72981
132,72982
133,22982
134,72951
135,72983
136,72294
137,80664
138,27994
139,72952
140,81425
141,81425
142,72984
143,72335
144,80275
145,78766
146,78073
147,72212
148,36503
149,29552
150,45021
151,14593
152,46488
153,14295
154,34664
155,43733
156,60164
157,60179
158,58699
159,58530
160,59522
161,59728
162,60076
163,58649
164,13480
165,60699
166,14123
167,2698
168,2698
169,46488
170,58191
171,34738
172,76638
173,79359
174,43458
175,35807
176,74882
177,46976
178,47033
179,46946
180,67692
181,47339
182,58167
183,48922
184,10737
185,10952
186,48922
187,48922
188,46945
189,58169
190,58168
191,68419
192,58531
193,58716
194,61262
195,45701
196,35808
197,35811
198,80957
199,30308
200,29554
201,14119
202,14118
203,14118
204,34398
205,79455
206,65855
207,14121
208,14120
209,47573
210,9927
211,72214
212,72214
213,26901
214,40144
215,54031
216,51988
217,14122
218,926
219,146
220,331
221,75880
222,76696
223,1280
224,40298
225,77253
226,77254
227,31690
228,39512
229,1756
230,1757
231,14124
232,51989
233,14124
234,14125
235,14126
236,43462
237,45942
238,51990
239,14127
240,51991
241,14130
242,14129
243,14128
244,51992
245,59954
246,38023
247,1742
248,51996
249,31902
250,31902
251,72208
252,31902
253,60354
254,34461
255,38896
256,34812
257,52001
258,30307
259,30313
260,30308
261,75668
262,29194
263,74882
264,4192
265,30313
266,835
267,30311
268,30308
269,30068
270,74574
271,30547
272,4766
273,50
274,27512
275,29930
276,29099
277,29930
278,29930
279,29930
280,3895
281,1606
282,54802
283,28966
284,28966
285,52002
286,43809
287,34128
288,58170
289,51046
290,61025
291,61025
292,58171
293,67651
294,67361
295,32568
296,65007
297,65008
298,65010
299,65010
300,47496
301,48741
302,48665
303,48421
304,47482
305,12625
306,77015
307,77015
308,52003
309,77015
310,76419
311,61516
312,75096
313,38882
314,38882
315,52004
316,52004
317,74380
318,72206
319,72224
320,40271
321,52005
322,6091
323,5334
324,5158
325,46817
326,48891
327,62351
328,62356
329,62355
330,62358
331,62362
332,62357
333,62359
334,62360
335,62361
336,62357
337,62362
338,49606
339,48679
340,48388
341,28510
342,30609
343,61517
344,52006
345,39844
346,76696
347,38630
348,51993
349,51269
350,37412
351,51269
352,48068
353,48068
354,37412
355,71164
356,897
357,1918
358,71165
359,33792
360,33793
361,33792
362,38135
363,52007
364,5851
365,5851
366,52007
367,5851
368,75097
369,5851
370,35812
371,1179
372,14407
373,51299
374,36926
375,38620
376,933
377,51994
378,14131
379,77009
380,32983
381,77009
382,77009
383,30774
384,26458
385,3720
386,51484
387,79908
388,31215
389,31215
390,31215
391,74605
392,45994
393,17603
394,72268
395,1054
396,1054
397,32297
398,52008
399,12596
400,50460
401,52009
402,40271
403,3765
404,51995
405,37130
406,51484
407,37180
408,52010
409,51484
410,51
411,14132
412,1071
413,14132
414,1065
415,39254
416,14132
417,14133
418,52011
419,7372
420,74467
421,1679
422,717
423,1679
424,34217
425,35329
426,76826
427,78593
428,14134
429,14134
430,14135
431,58172
432,30667
433,59896
434,60946
435,7251
436,7252
437,75831
438,71166
439,61725
440,78593
441,78593
442,27227
443,26371
444,1168
445,34582
446,51996
447,34582
448,12392
449,12393
450,1074
451,52012
452,63392
453,63394
454,63395
455,63396
456,63397
457,63398
458,63399
459,74606
460,5414
461,69712
462,27060
463,27860
464,27815
465,47124
466,47124
467,77493
468,75959
469,75960
470,32534
471,71167
472,1914
473,51998
474,147
475,1441
476,52013
477,74124
478,6259
479,81260
480,74782
481,148
482,52014
483,34624
484,73363
485,6260
486,31053
487,42900
488,63818
489,42900
490,79127
491,31806
492,78086
493,28179
494,72033
495,27969
496,71949
497,30838
498,73558
499,36
500,27572
501,31115
502,71951
503,71983
504,27573
505,28137
506,26170
507,77408
508,349
509,76714
510,45524
511,33328
512,32298
513,51999
514,52000
515,77524
516,27182
517,77523
518,77527
519,77523
520,77526
521,71970
522,71168
523,71169
524,71228
525,71227
526,31067
527,31047
528,61518
529,71970
530,27559
531,77528
532,61520
533,72043
534,27559
535,52017
536,52016
537,28087
538,26891
539,26884
540,26884
541,5416
542,52016
543,31805
544,34589
545,14138
546,52018
547,2
548,14136
549,31406
550,31049
551,51997
552,31805
553,1915
554,31443
555,14137
556,31049
557,3
558,14138
559,32221
560,52018
561,26283
562,51997
